,create_time,text,retweets,favorites,word_tokens,text_clean,polarity,subjectivity,sentiment_2,keywords
45,2020-10-21 00:14:25,"RT @TeamTrump: LIVE: President Donald Trump in Erie, PA #Pennsylvania #Trump

Text VOTE to 88022 https://t.co/SQQsWTlDkf",2303,0,15,rt teamtrump live president donald trump erie pa pennsylvania trump text vote 88022,0.13636363636363635,0.5,positive,other
46,2020-10-20 22:16:17,"Under @realDonaldTrump’s leadership, Wisconsin is experiencing the Great American Comeback. Now let’s keep WISCONSI… https://t.co/lGGY5amDM3",1080,5218,16,realdonaldtrumps leadership wisconsin experiencing great american comeback lets keep wisconsi,0.4,0.375,positive,other
47,2020-10-20 20:12:18,RT @realDonaldTrump: WISCONSIN! Early voting is now underway—let’s #MAGA! https://t.co/gsFSghkmdM,16910,0,10,rt realdonaldtrump wisconsin early voting underwaylets maga,0.125,0.3,positive,other
48,2020-10-20 20:09:57,Joe Biden and Kamala Harris would devastate American communities. Their radical economic agenda would lead to 4.9 M… https://t.co/CihNbKqtpZ,2588,8435,17,joe biden kamala harris would devastate american communities radical economic agenda would lead,0.1,0.1,positive,other
49,2020-10-20 19:28:15,"American households stand to lose $6,500 each year under Joe Biden’s radical left agenda. https://t.co/1EYOd8288x",17943,43238,15,american households stand lose year joe bidens radical left agenda,0.0,0.0,neutral,other
50,2020-10-20 18:57:59,"RT @TrumpWarRoom: Biden says he will raise taxes immediately, even if the economy is struggling https://t.co/wLNAdbjqIO",2013,0,16,rt trumpwarroom biden says raise taxes immediately even economy struggling,0.0,0.0,neutral,other
51,2020-10-20 18:56:33,RT @GOP: “[Judge Amy Coney Barrett is] phenomenal… She's become a major star in this country… people love her.” -@realDonaldTrump https://t…,1149,0,18,rt gop judge amy coney barrett phenomenal become major star country people love realdonaldtrump,0.28125,0.55,positive,other
52,2020-10-20 18:56:05,"RT @SenateGOP: There’s no question that Judge Amy Coney Barrett is the *perfect pick* for the United States Supreme Court.

#ConfirmACB 🇺🇸…",875,0,22,rt senategop theres question judge amy coney barrett perfect pick united states supreme court confirmacb,1.0,1.0,positive,other
53,2020-10-20 18:28:20,RT @KarenPence: In exactly 2 weeks @realDonaldTrump &amp; @Mike_Pence will win #FourMoreYears in the @WhiteHouse to #MakeAmericaGreatAgain! 🇺🇸…,755,0,15,rt karenpence exactly 2 weeks realdonaldtrump win fourmoreyears whitehouse makeamericagreatagain,0.625,0.325,positive,other
54,2020-10-20 16:30:23,RT @SecondLady: States across the country have led the way in finding employment solutions for our Nation's #MilitarySpouses. Arizona has b…,401,0,20,rt secondlady states across country led way finding employment solutions nation militaryspouses arizona b,0.0,0.0,neutral,other
55,2020-10-20 13:40:50,https://t.co/yZYsn4c5eg,761,4537,1,,0.0,0.0,neutral,other
56,2020-10-20 12:54:34,https://t.co/39ExEuaeaX,2252,12612,1,,0.0,0.0,neutral,other
57,2020-10-20 00:14:58,"RT @realDonaldTrump: THANK YOU TUCSON, ARIZONA! Together, we are going to MAKE AMERICA GREAT AGAIN!! https://t.co/GYB2zG0f4H",43133,0,16,rt realdonaldtrump thank tucson arizona together going make america great,1.0,0.75,positive,other
58,2020-10-20 00:08:34,https://t.co/Ld22EHMjR9,581,3647,1,,0.0,0.0,neutral,other
59,2020-10-20 00:05:04,https://t.co/FwEZN94jUE,1026,6916,1,,0.0,0.0,neutral,other
60,2020-10-19 22:46:45,"RT @TeamTrump: LIVE: President Donald Trump in Tucson, AZ #Arizona

Text VOTE to 88022 https://t.co/VdOKmdCv13",1852,0,14,rt teamtrump live president donald trump tucson az arizona text vote 88022,0.13636363636363635,0.5,positive,other
61,2020-10-19 22:24:00,"Karen &amp; I send our deepest sympathies to his wife Millie and pray  for God’s comfort for her, the entire Hallow fam… https://t.co/zeEldjy3vq",428,2587,23,karen send deepest sympathies wife millie pray gods comfort entire hallow fam,0.0,0.625,neutral,other
62,2020-10-19 22:24:00,"With the passing of Ralph Hallow, our Country lost a Giant of American Journalism and I lost a friend. Ralph spent… https://t.co/v0r42yKKRh",854,5619,21,passing ralph hallow country lost giant american journalism lost friend ralph spent,0.0,0.5,neutral,other
63,2020-10-19 22:23:55,"RT @LouDobbs: Democracy at Stake: VP @Mike_Pence warns if the Democratic Party &amp; radical left win the election, Congress will pack the Supr…",1029,0,21,rt loudobbs democracy stake vp warns democratic party radical left win election congress pack supr,0.4,0.2,positive,election
64,2020-10-19 22:09:14,"Tens of thousands of enthusiastic Americans are coming out each day to support this Administration, and in 15 days… https://t.co/l8sfRzfxVO",1421,6420,18,tens thousands enthusiastic americans coming day support administration 15 days,0.6,0.9,positive,other
65,2020-10-19 22:05:23,Joe Biden and Kamala Harris are STILL refusing to answer the question on whether they would pack the Supreme Court.… https://t.co/466O7BHAkP,1141,4855,20,joe biden kamala harris still refusing answer question whether would pack supreme court,0.0,0.0,neutral,other
66,2020-10-19 21:45:57,THANK YOU PENNSYLVANIA! The Keystone State is ready for FOUR MORE YEARS of President @realDonaldTrump! 🇺🇸 https://t.co/SwYxXyuSVb,2103,11274,16,thank pennsylvania keystone state ready four years president realdonaldtrump,0.4125,0.5,positive,other
67,2020-10-19 21:43:42,President @realDonaldTrump has done more in the last 4 years for YOU than Joe Biden has done during his decades in… https://t.co/ef6cui93W4,857,4393,20,president realdonaldtrump done last 4 years joe biden done decades,0.25,0.2833333333333333,positive,other
68,2020-10-19 21:43:39,Pennsylvania: Who do you think can bring this economy all the way back?  A proven job creator or a career politicia… https://t.co/62aSvZK2XO,4585,16878,21,pennsylvania think bring economy way back proven job creator career politicia,0.0,0.0,neutral,other
69,2020-10-19 21:39:18,"Big Tech is actually trying to censor what Americans read, see, and say. President @realDonaldTrump and I are going… https://t.co/LpsGkdIdEr",1767,6428,19,big tech actually trying censor americans read see say president realdonaldtrump going,0.0,0.1,neutral,other
70,2020-10-19 21:17:16,"After 8 YEARS of reckless budget cuts to our National Defense when Joe Biden was Vice President, President… https://t.co/qMfNdov1q1",903,4041,17,8 years reckless budget cuts national defense joe biden vice president president,0.0,0.0,neutral,other
71,2020-10-19 21:11:29,"Joe Biden and Kamala Harris have said time and time again that they want to BAN fracking.

Check it out for yoursel… https://t.co/lgpGEBF1bi",2343,5337,22,joe biden kamala harris said time time want ban fracking check yoursel,0.0,0.0,neutral,other
72,2020-10-19 20:53:53,RT @LouDobbs: Homestretch: @POTUS and @VP hit the campaign trail hard 2 weeks before Election Day—as China Joe hides in his basement. VP @M…,739,0,21,rt loudobbs homestretch potus vp hit campaign trail hard 2 weeks election dayas china joe hides basement vp,-0.2916666666666667,0.5416666666666666,negative,election
73,2020-10-19 20:53:21,I’ll be on @LouDobbs LIVE at 5:09PM!Tune in!,1094,6835,9,ill loudobbs live tune,0.17045454545454544,0.5,positive,other
74,2020-10-19 20:04:16,"RT @cspan: VP @Mike_Pence in New Cumberland, PA - LIVE online here: https://t.co/YKq5TH749R https://t.co/LmNdvqKbl1",232,0,12,rt cspan vp new cumberland pa live online,0.13636363636363635,0.4772727272727273,positive,other
75,2020-10-19 19:59:02,RT @TeamTrump: President @realDonaldTrump: 15 days from now we are going to win #Arizona and secure FOUR MORE YEARS! https://t.co/X8601XGRyU,1181,0,19,rt teamtrump president realdonaldtrump 15 days going win arizona secure four years,0.6083333333333334,0.5,positive,other
76,2020-10-19 19:58:58,RT @TeamTrump: President @realDonaldTrump: Our country will NEVER be a socialist country! https://t.co/0I0LqzdmUE,949,0,13,rt teamtrump president realdonaldtrump country never socialist country,0.0,0.0,neutral,other
77,2020-10-19 19:43:01,"RT @realDonaldTrump: Just arriving in Prescott, what a crowd! I love Arizona!! https://t.co/qssvOznppz",47335,0,13,rt realdonaldtrump arriving prescott crowd love arizona,0.78125,0.6,positive,other
78,2020-10-19 19:35:21,"RT @TeamTrump: LIVE: President Donald Trump in Prescott, AZ #Arizona

Text VOTE to 88022 https://t.co/1N5DlGObb7",1521,0,14,rt teamtrump live president donald trump prescott az arizona text vote 88022,0.13636363636363635,0.5,positive,other
79,2020-10-19 19:35:18,"RT @TeamTrump: TODAY: Watch President @realDonaldTrump's Remarks from Prescott, Arizona at 3:00 pm ET!

RSVP: https://t.co/UNzHo4XSpv

#Tea…",493,0,15,rt teamtrump today watch president realdonaldtrump remarks prescott arizona pm et rsvp tea,0.0,0.0,neutral,other
80,2020-10-19 19:13:18,Just landed in PA! Looking forward to bringing our case directly to the American people of why Pennsylvania and Ame… https://t.co/6wvkIVGP9t,4539,25154,20,landed pa looking forward bringing case directly american people pennsylvania ame,0.05,0.2,positive,other
81,2020-10-19 18:07:40,https://t.co/3FliKevqyz,518,3060,1,,0.0,0.0,neutral,other
82,2020-10-19 17:36:29,"Next Stop: Harrisburg, PA! Under President @realDonaldTrump we will have more jobs and more support for the amazing… https://t.co/lAT0C4gARG",1379,7254,18,next stop harrisburg pa president realdonaldtrump jobs support amazing,0.3333333333333333,0.3333333333333333,positive,other
83,2020-10-19 17:17:29,"For decades, Joe Biden has been a cheerleader for communist China. But when communist China put 30 percent tariffs… https://t.co/u0iRoFVPTA",1170,4341,18,decades joe biden cheerleader communist china communist china put 30 percent tariffs,0.0,0.0,neutral,other
84,2020-10-19 17:12:52,".@DaleCraftsME is strong on the Second Amendment, jobs and our amazing Military! #ME02 needs to send Dale to Congre… https://t.co/aqG97jkwPj",404,2139,18,dalecraftsme strong second amendment jobs amazing military me02 needs send dale congre,0.22708333333333336,0.43333333333333335,positive,other
85,2020-10-19 17:10:10,"Under President @realDonaldTrump, Maine gained nearly 18,000 jobs and we protected the states’ lobster industry! Th… https://t.co/lOg71VTv4h",900,4251,15,president realdonaldtrump maine gained nearly jobs protected states lobster industry th,0.125,0.4,positive,other
86,2020-10-19 17:08:38,"Under President @realDonaldTrump, we BACK THE BLUE! We’re not going to defund the police—not now, not ever!",2466,11710,17,president realdonaldtrump back blue going defund policenot ever,0.0,0.05,neutral,other
87,2020-10-19 17:08:37,"Joe Biden actually said America is “systemically racist,” and police have an “implicit bias” against minorities. Wh… https://t.co/puzCd5kGpy",10106,26924,17,joe biden actually said america systemically racist police implicit bias minorities wh,0.0,0.1,neutral,other
